Year,Month,State,Species,Metrics_tons,Pounds,Dollars
2009,Jul,California,SHELLFISH,429.8,"947,573","284,867"
2010,Jul,California,SHELLFISH,182.5,"402,264","132,962"
2011,Jul,California,SHELLFISH,0,105,170
2012,Jul,California,SHELLFISH,506.5,"1,116,632","528,410"
2013,Jul,California,SHELLFISH,0.1,247,"2,146"
2014,Jul,California,SHELLFISH,0,21,210
2015,Jul,California,SHELLFISH,2.1,"4,657","31,600"
1990,Jul,Oregon,SHELLFISH,0.7,"1,454","2,243"
1991,Jul,Oregon,SHELLFISH,2,"4,431","3,351"
1992,Jul,Oregon,SHELLFISH,1.1,"2,468","3,017"
1993,Jul,Oregon,SHELLFISH,1.1,"2,426","3,864"
1994,Jul,Oregon,SHELLFISH,3.1,"6,808","15,435"
1995,Jul,Oregon,SHELLFISH,15.1,"33,380","38,503"
1996,Jul,Oregon,SHELLFISH,0.5,"1,059","2,471"
1997,Jul,Oregon,SHELLFISH,1.3,"2,959","5,082"
1998,Jul,Oregon,SHELLFISH,8.9,"19,610","14,014"
1999,Jul,Oregon,SHELLFISH,0.8,"1,850","1,860"
2000,Jul,Oregon,SHELLFISH,91,"200,688","224,900"
2001,Jul,Oregon,SHELLFISH,7.2,"15,826","98,507"
2002,Jul,Oregon,SHELLFISH,1.2,"2,741","2,751"
2003,Jul,Oregon,SHELLFISH,6.8,"15,057","11,666"
2004,Jul,Oregon,SHELLFISH,6.8,"15,031","13,820"
2005,Jul,Oregon,SHELLFISH,1.3,"2,759","3,676"
2006,Jul,Oregon,SHELLFISH,21.7,"47,884","31,917"
2007,Jul,Oregon,SHELLFISH,0.2,458,940
2008,Jul,Oregon,SHELLFISH,22.4,"49,362","31,220"
2009,Jul,Oregon,SHELLFISH,29.8,"65,712","39,076"
2010,Jul,Oregon,SHELLFISH,2.6,"5,767","22,401"
2011,Jul,Oregon,SHELLFISH,24.6,"54,215","41,186"
2012,Jul,Oregon,SHELLFISH,1.6,"3,516","6,208"
2013,Jul,Oregon,SHELLFISH,16.1,"35,598","45,132"
2014,Jul,Oregon,SHELLFISH,28.6,"62,967","49,674"
2015,Jul,Oregon,SHELLFISH,15.4,"34,009","28,275"
1990,Jul,Washington,SHELLFISH,230.3,"507,763","961,303"
1991,Jul,Washington,SHELLFISH,9.9,"21,731","141,732"
1992,Jul,Washington,SHELLFISH,14.1,"31,121","177,878"
1993,Jul,Washington,SHELLFISH,9.4,"20,683","177,493"
1994,Jul,Washington,SHELLFISH,11.6,"25,595","166,447"
1995,Jul,Washington,SHELLFISH,12.3,"27,130","185,797"
1996,Jul,Washington,SHELLFISH,22.5,"49,640","434,840"
1997,Jul,Washington,SHELLFISH,16.2,"35,621","324,205"
1998,Jul,Washington,SHELLFISH,14.5,"31,917","268,593"
1999,Jul,Washington,SHELLFISH,16.9,"37,300","443,645"
2000,Jul,Washington,SHELLFISH,19.1,"42,161","310,054"
2001,Jul,Washington,SHELLFISH,82.7,"182,396","1,775,491"
2002,Jul,Washington,SHELLFISH,72.1,"158,938","1,565,555"
2003,Jul,Washington,SHELLFISH,105.8,"233,162","1,839,333"
2004,Jul,Washington,SHELLFISH,87,"191,888","1,875,963"
2005,Jul,Washington,SHELLFISH,106.8,"235,381","2,231,786"
2006,Jul,Washington,SHELLFISH,134.8,"297,089","3,494,460"
2007,Jul,Washington,SHELLFISH,90.7,"200,056","2,330,275"
2008,Jul,Washington,SHELLFISH,108.9,"240,110","2,865,750"
2009,Jul,Washington,SHELLFISH,122,"268,952","2,556,023"
2010,Jul,Washington,SHELLFISH,110.9,"244,501","1,972,159"
2011,Jul,Washington,SHELLFISH,79.8,"175,836","2,348,435"
2012,Jul,Washington,SHELLFISH,129.3,"285,029","3,000,226"
2013,Jul,Washington,SHELLFISH,119.2,"262,704","1,941,315"
2014,Jul,Washington,SHELLFISH,126.8,"279,561","2,571,686"
2015,Jul,Washington,SHELLFISH,111.8,"246,517","2,454,900"
1993,Aug,Alaska,SHELLFISH,27.5,"60,608","40,310"
1990,Aug,California,SHELLFISH,1.2,"2,680","3,367"
1991,Aug,California,SHELLFISH,14.7,"32,334","7,960"
1992,Aug,California,SHELLFISH,0.7,"1,475","3,975"
1993,Aug,California,SHELLFISH,11.6,"25,647","13,905"
1994,Aug,California,SHELLFISH,2.3,"5,158","13,168"
1995,Aug,California,SHELLFISH,0.8,"1,824","4,003"
1996,Aug,California,SHELLFISH,0.3,652,"1,745"
1997,Aug,California,SHELLFISH,0.3,637,"2,388"
1998,Aug,California,SHELLFISH,1,"2,157","3,064"
1999,Aug,California,SHELLFISH,0.1,232,"2,006"
2000,Aug,California,SHELLFISH,0.5,"1,083","2,983"
2001,Aug,California,SHELLFISH,0.5,"1,190","2,039"
2002,Aug,California,SHELLFISH,407.6,"898,634","274,066"
2003,Aug,California,SHELLFISH,0.4,840,"1,075"
2004,Aug,California,SHELLFISH,151.7,"334,496","165,119"
2005,Aug,California,SHELLFISH,146.4,"322,728","158,923"
2006,Aug,California,SHELLFISH,12.3,"27,069","26,747"
2007,Aug,California,SHELLFISH,88.7,"195,491","104,918"
2008,Aug,California,SHELLFISH,259.2,"571,385","302,379"
2009,Aug,California,SHELLFISH,289.5,"638,195","192,351"
2010,Aug,California,SHELLFISH,431.2,"950,728","311,805"
2011,Aug,California,SHELLFISH,0.1,300,"1,270"
2012,Aug,California,SHELLFISH,419.2,"924,205","414,355"
2013,Aug,California,SHELLFISH,0.1,316,"2,198"
2014,Aug,California,SHELLFISH,718.2,"1,583,387","806,517"
2015,Aug,California,SHELLFISH,55.5,"122,321","56,754"
1990,Aug,Oregon,SHELLFISH,1.1,"2,432","2,848"
1991,Aug,Oregon,SHELLFISH,0.7,"1,612","1,656"
1992,Aug,Oregon,SHELLFISH,1.2,"2,686","3,113"
1993,Aug,Oregon,SHELLFISH,6.3,"13,788","32,941"
1994,Aug,Oregon,SHELLFISH,1.2,"2,562","6,152"
1995,Aug,Oregon,SHELLFISH,18.3,"40,399","54,515"
1996,Aug,Oregon,SHELLFISH,6.1,"13,452","4,855"
1997,Aug,Oregon,SHELLFISH,0.2,475,449
1998,Aug,Oregon,SHELLFISH,0.3,600,550
1999,Aug,Oregon,SHELLFISH,1.1,"2,456","2,889"
2000,Aug,Oregon,SHELLFISH,2.2,"4,927","4,083"
2001,Aug,Oregon,SHELLFISH,2.8,"6,106","5,053"
2002,Aug,Oregon,SHELLFISH,1.6,"3,549","4,648"
2003,Aug,Oregon,SHELLFISH,4.3,"9,491","9,911"
2004,Aug,Oregon,SHELLFISH,20.5,"45,283","26,299"
2005,Aug,Oregon,SHELLFISH,1.2,"2,727","5,523"
2006,Aug,Oregon,SHELLFISH,1.5,"3,208","7,506"
2007,Aug,Oregon,SHELLFISH,23.9,"52,617","29,010"
2008,Aug,Oregon,SHELLFISH,14.7,"32,457","16,146"
2009,Aug,Oregon,SHELLFISH,14.2,"31,200","19,183"
2010,Aug,Oregon,SHELLFISH,7,"15,447","16,159"
2011,Aug,Oregon,SHELLFISH,37.8,"83,350","48,613"
2012,Aug,Oregon,SHELLFISH,0,41,75
2013,Aug,Oregon,SHELLFISH,26.3,"57,964","42,245"
2014,Aug,Oregon,SHELLFISH,12.7,"27,983","47,692"
2015,Aug,Oregon,SHELLFISH,1.3,"2,907","7,286"
1990,Aug,Washington,SHELLFISH,253.1,"557,917","1,042,268"
1991,Aug,Washington,SHELLFISH,186,"410,138","855,441"
1992,Aug,Washington,SHELLFISH,12.6,"27,764","162,892"
1993,Aug,Washington,SHELLFISH,10.9,"23,978","226,102"
1994,Aug,Washington,SHELLFISH,35.4,"78,121","871,392"
1995,Aug,Washington,SHELLFISH,16.5,"36,370","371,827"
1996,Aug,Washington,SHELLFISH,18.8,"41,494","304,242"
1997,Aug,Washington,SHELLFISH,16.3,"35,926","316,361"
1998,Aug,Washington,SHELLFISH,15.9,"35,097","266,097"
1999,Aug,Washington,SHELLFISH,19.9,"43,818","532,514"
2000,Aug,Washington,SHELLFISH,19.3,"42,584","380,959"
2001,Aug,Washington,SHELLFISH,100.6,"221,891","2,034,440"
2002,Aug,Washington,SHELLFISH,78.3,"172,619","1,703,113"
2003,Aug,Washington,SHELLFISH,115.5,"254,689","1,852,077"
2004,Aug,Washington,SHELLFISH,97,"213,805","1,939,063"
2005,Aug,Washington,SHELLFISH,104.2,"229,696","2,340,735"
2006,Aug,Washington,SHELLFISH,127.5,"281,041","3,503,434"
2007,Aug,Washington,SHELLFISH,87.5,"193,003","2,440,370"
2008,Aug,Washington,SHELLFISH,104.7,"230,780","2,720,915"
2009,Aug,Washington,SHELLFISH,164.1,"361,744","2,305,821"
2010,Aug,Washington,SHELLFISH,104.3,"229,841","2,093,862"
2011,Aug,Washington,SHELLFISH,83.8,"184,713","2,613,435"
2012,Aug,Washington,SHELLFISH,109.5,"241,410","2,682,582"
2013,Aug,Washington,SHELLFISH,337.2,"743,498","4,182,068"
2014,Aug,Washington,SHELLFISH,64.3,"141,671","791,424"
2015,Aug,Washington,SHELLFISH,112.4,"247,708","2,485,140"
1990,Sep,California,SHELLFISH,1.8,"3,925","4,158"
1991,Sep,California,SHELLFISH,0.9,"2,003","4,221"
1992,Sep,California,SHELLFISH,0.5,"1,205","3,209"
1993,Sep,California,SHELLFISH,9.6,"21,132","40,659"
1994,Sep,California,SHELLFISH,0.1,239,"2,274"
1995,Sep,California,SHELLFISH,0.4,919,"1,843"
1996,Sep,California,SHELLFISH,5.3,"11,777","45,379"
1997,Sep,California,SHELLFISH,0.8,"1,849","8,094"
1998,Sep,California,SHELLFISH,0.5,"1,101","2,379"
1999,Sep,California,SHELLFISH,0.1,279,"1,197"
2000,Sep,California,SHELLFISH,0.8,"1,664","7,854"
2001,Sep,California,SHELLFISH,0.1,325,"1,072"
2002,Sep,California,SHELLFISH,0.5,"1,068",485
2003,Sep,California,SHELLFISH,227.4,"501,335","161,144"
2004,Sep,California,SHELLFISH,84.5,"186,311","135,222"
2005,Sep,California,SHELLFISH,33.9,"74,707","44,375"
2006,Sep,California,SHELLFISH,48,"105,832","33,356"
2007,Sep,California,SHELLFISH,31.7,"69,990","32,158"
2008,Sep,California,SHELLFISH,83.8,"184,842","101,381"
2009,Sep,California,SHELLFISH,140.3,"309,388","93,048"
2010,Sep,California,SHELLFISH,177.9,"392,151","126,263"
2011,Sep,California,SHELLFISH,413.5,"911,626","468,421"
2012,Sep,California,SHELLFISH,363.4,"801,123","328,392"
2013,Sep,California,SHELLFISH,638.4,"1,407,328","624,700"
2014,Sep,California,SHELLFISH,519,"1,144,140","690,522"
2015,Sep,California,SHELLFISH,244.8,"539,754","408,849"
1990,Sep,Oregon,SHELLFISH,2.2,"4,923","7,448"
1991,Sep,Oregon,SHELLFISH,0.5,"1,172","1,194"
1992,Sep,Oregon,SHELLFISH,1.2,"2,632","3,152"
1993,Sep,Oregon,SHELLFISH,10.5,"23,209","65,515"
1994,Sep,Oregon,SHELLFISH,1.2,"2,710","4,332"
1995,Sep,Oregon,SHELLFISH,22.1,"48,824","32,356"
1996,Sep,Oregon,SHELLFISH,1,"2,267","2,518"
1997,Sep,Oregon,SHELLFISH,3.8,"8,334","3,572"
1998,Sep,Oregon,SHELLFISH,49.4,"108,994","47,061"
1999,Sep,Oregon,SHELLFISH,16.6,"36,567","24,729"
2000,Sep,Oregon,SHELLFISH,3.1,"6,746","5,361"
2001,Sep,Oregon,SHELLFISH,2.6,"5,660","6,566"
2002,Sep,Oregon,SHELLFISH,1,"2,215","4,415"
2003,Sep,Oregon,SHELLFISH,14,"30,772","27,236"
2004,Sep,Oregon,SHELLFISH,0.9,"2,032","7,245"
2005,Sep,Oregon,SHELLFISH,5.3,"11,725","16,159"
2006,Sep,Oregon,SHELLFISH,30.8,"67,839","32,322"
2007,Sep,Oregon,SHELLFISH,6.6,"14,537","15,409"
2008,Sep,Oregon,SHELLFISH,10.6,"23,465","17,234"
2009,Sep,Oregon,SHELLFISH,2.2,"4,928","16,216"
2010,Sep,Oregon,SHELLFISH,21.3,"46,906","63,410"
2011,Sep,Oregon,SHELLFISH,33.3,"73,339","65,695"
2012,Sep,Oregon,SHELLFISH,0.9,"2,003","17,405"
2013,Sep,Oregon,SHELLFISH,20,"44,017","47,727"
2014,Sep,Oregon,SHELLFISH,3.7,"8,144","23,843"
2015,Sep,Oregon,SHELLFISH,5.7,"12,565","13,019"
1990,Sep,Washington,SHELLFISH,272.6,"601,000","1,075,899"
1991,Sep,Washington,SHELLFISH,187,"412,263","814,191"
1992,Sep,Washington,SHELLFISH,9.3,"20,421","124,158"
1993,Sep,Washington,SHELLFISH,9.1,"20,166","174,047"
1994,Sep,Washington,SHELLFISH,15.8,"34,767","191,938"
1995,Sep,Washington,SHELLFISH,14.1,"31,119","387,113"
1996,Sep,Washington,SHELLFISH,17.1,"37,798","273,373"
1997,Sep,Washington,SHELLFISH,17.5,"38,675","241,015"
1998,Sep,Washington,SHELLFISH,15.5,"34,120","289,237"
1999,Sep,Washington,SHELLFISH,19.1,"42,113","455,979"
2000,Sep,Washington,SHELLFISH,22.5,"49,608","435,711"
2001,Sep,Washington,SHELLFISH,74.3,"163,736","1,518,656"
2002,Sep,Washington,SHELLFISH,68.4,"150,854","1,382,958"
2003,Sep,Washington,SHELLFISH,83,"182,935","1,498,920"
2004,Sep,Washington,SHELLFISH,70.5,"155,326","1,621,711"
2005,Sep,Washington,SHELLFISH,85.1,"187,668","1,926,000"
2006,Sep,Washington,SHELLFISH,118.6,"261,523","3,264,755"
2007,Sep,Washington,SHELLFISH,77.3,"170,424","2,198,179"
2008,Sep,Washington,SHELLFISH,169.1,"372,712","2,184,529"
2009,Sep,Washington,SHELLFISH,94.1,"207,445","2,106,912"
2010,Sep,Washington,SHELLFISH,97.1,"213,987","1,788,989"
2011,Sep,Washington,SHELLFISH,350.6,"773,010","4,715,137"
2012,Sep,Washington,SHELLFISH,88.4,"194,820","2,358,030"
2013,Sep,Washington,SHELLFISH,139.9,"308,338","3,277,961"
2014,Sep,Washington,SHELLFISH,61.7,"135,957","739,187"
2015,Sep,Washington,SHELLFISH,91.7,"202,188","2,248,435"
1990,Oct,Alaska,SHELLFISH,42.1,"92,728","56,646"
1991,Oct,Alaska,SHELLFISH,288.1,"635,070","510,982"
1992,Oct,Alaska,SHELLFISH,551,"1,214,712","1,135,951"
1993,Oct,Alaska,SHELLFISH,436.7,"962,697","994,132"
1994,Oct,Alaska,SHELLFISH,72,"158,635","207,574"
1995,Oct,Alaska,SHELLFISH,61.2,"135,000","168,750"
1996,Oct,Alaska,SHELLFISH,70.5,"155,452","194,315"
1997,Oct,Alaska,SHELLFISH,329.1,"725,503","1,143,202"
1998,Oct,Alaska,SHELLFISH,348.9,"769,212","1,196,640"
1990,Oct,California,SHELLFISH,0.7,"1,537","1,456"
1991,Oct,California,SHELLFISH,296.5,"653,577","66,791"
1992,Oct,California,SHELLFISH,20.4,"44,890","19,224"
1993,Oct,California,SHELLFISH,0.9,"2,082","3,058"
1994,Oct,California,SHELLFISH,0,52,432
1995,Oct,California,SHELLFISH,0.7,"1,621","4,026"
1996,Oct,California,SHELLFISH,3.5,"7,821","30,614"
1997,Oct,California,SHELLFISH,0.3,632,"3,890"
1998,Oct,California,SHELLFISH,0.2,431,"1,544"
1999,Oct,California,SHELLFISH,4.5,"9,962","18,052"
2000,Oct,California,SHELLFISH,0.2,532,"1,641"
2001,Oct,California,SHELLFISH,0.2,374,792
2002,Oct,California,SHELLFISH,0.7,"1,435",512
2003,Oct,California,SHELLFISH,99.7,"219,819","82,699"
2004,Oct,California,SHELLFISH,15,"32,963","18,326"
2005,Oct,California,SHELLFISH,10,"22,021","30,936"
2006,Oct,California,SHELLFISH,1.3,"2,900","11,702"
2007,Oct,California,SHELLFISH,0.9,"2,071","2,533"
2008,Oct,California,SHELLFISH,0.3,716,"1,449"
2009,Oct,California,SHELLFISH,3.1,"6,777","1,935"
2010,Oct,California,SHELLFISH,62.9,"138,736","46,326"
2011,Oct,California,SHELLFISH,220.2,"485,514","243,453"
2012,Oct,California,SHELLFISH,502.6,"1,108,065","440,134"
2013,Oct,California,SHELLFISH,643.9,"1,419,621","629,722"
2014,Oct,California,SHELLFISH,248.5,"547,779","338,119"
2015,Oct,California,SHELLFISH,55.5,"122,448","100,651"
1990,Oct,Oregon,SHELLFISH,1.2,"2,624","3,303"
1991,Oct,Oregon,SHELLFISH,1.1,"2,342","2,126"
1992,Oct,Oregon,SHELLFISH,1.5,"3,216","4,577"
1993,Oct,Oregon,SHELLFISH,7.7,"17,026","35,571"
1994,Oct,Oregon,SHELLFISH,3.7,"8,253","11,654"
1995,Oct,Oregon,SHELLFISH,1.7,"3,807","4,146"
1996,Oct,Oregon,SHELLFISH,0.7,"1,578","2,135"
1997,Oct,Oregon,SHELLFISH,1.2,"2,724","5,969"
1998,Oct,Oregon,SHELLFISH,1,"2,290","2,153"
1999,Oct,Oregon,SHELLFISH,11.5,"25,405","10,170"
2000,Oct,Oregon,SHELLFISH,4.7,"10,434","42,692"
2001,Oct,Oregon,SHELLFISH,2.3,"4,964","4,720"
2002,Oct,Oregon,SHELLFISH,16.6,"36,491","17,291"
2003,Oct,Oregon,SHELLFISH,9.5,"20,873","16,687"
2004,Oct,Oregon,SHELLFISH,0.7,"1,570","6,767"
2005,Oct,Oregon,SHELLFISH,6.3,"13,997","8,967"
2006,Oct,Oregon,SHELLFISH,37.8,"83,412","32,895"
2007,Oct,Oregon,SHELLFISH,16.8,"37,096","22,161"
2008,Oct,Oregon,SHELLFISH,12.7,"27,999","26,620"
2009,Oct,Oregon,SHELLFISH,2.5,"5,524","7,407"
2010,Oct,Oregon,SHELLFISH,11.7,"25,877","53,007"
2011,Oct,Oregon,SHELLFISH,33,"72,647","65,704"
2012,Oct,Oregon,SHELLFISH,1.1,"2,460","24,044"
2013,Oct,Oregon,SHELLFISH,31.6,"69,715","55,999"
2014,Oct,Oregon,SHELLFISH,12.1,"26,726","31,989"
2015,Oct,Oregon,SHELLFISH,10,"22,073","23,017"
1990,Oct,Washington,SHELLFISH,6.8,"14,886","126,154"
1991,Oct,Washington,SHELLFISH,6.3,"13,965","77,377"
1992,Oct,Washington,SHELLFISH,12,"26,427","443,157"
1993,Oct,Washington,SHELLFISH,11.2,"24,783","147,141"
1994,Oct,Washington,SHELLFISH,27.7,"61,148","700,460"
1995,Oct,Washington,SHELLFISH,11.6,"25,484","264,659"
1996,Oct,Washington,SHELLFISH,16.5,"36,314","261,461"
1997,Oct,Washington,SHELLFISH,21.9,"48,315","313,001"
1998,Oct,Washington,SHELLFISH,97.7,"215,425","417,470"
1999,Oct,Washington,SHELLFISH,16,"35,303","409,330"
2000,Oct,Washington,SHELLFISH,17.3,"38,189","266,332"
2001,Oct,Washington,SHELLFISH,58.8,"129,582","1,357,704"
2002,Oct,Washington,SHELLFISH,18.3,"40,248","160,414"
2003,Oct,Washington,SHELLFISH,62.4,"137,518","1,551,342"
2004,Oct,Washington,SHELLFISH,76.3,"168,294","1,619,761"
2005,Oct,Washington,SHELLFISH,94.4,"208,214","1,920,301"
2006,Oct,Washington,SHELLFISH,44.8,"98,742","740,310"
2007,Oct,Washington,SHELLFISH,143.7,"316,696","2,293,401"
2008,Oct,Washington,SHELLFISH,145.7,"321,212","2,383,049"
2009,Oct,Washington,SHELLFISH,324.3,"715,045","2,235,905"
2010,Oct,Washington,SHELLFISH,396.3,"873,684","420,908"
2011,Oct,Washington,SHELLFISH,68.7,"151,562","2,021,463"
2012,Oct,Washington,SHELLFISH,79.9,"176,100","1,150,843"
2013,Oct,Washington,SHELLFISH,888.4,"1,958,625","3,463,661"
2014,Oct,Washington,SHELLFISH,46.6,"102,759","543,126"
2015,Oct,Washington,SHELLFISH,90.8,"200,286","2,275,125"
1990,Nov,Alaska,SHELLFISH,82.5,"181,789","110,723"
1991,Nov,Alaska,SHELLFISH,93.6,"206,343","166,854"
1992,Nov,Alaska,SHELLFISH,15.8,"34,909","31,866"
1993,Nov,Alaska,SHELLFISH,22.8,"50,261","15,573"
1994,Nov,Alaska,SHELLFISH,205.3,"452,607","793,503"
1995,Nov,Alaska,SHELLFISH,302.7,"667,401","916,676"
1996,Nov,Alaska,SHELLFISH,233.3,"514,403","669,119"
1990,Nov,California,SHELLFISH,1.4,"3,114","1,812"
1991,Nov,California,SHELLFISH,5.6,"12,289","4,503"
1992,Nov,California,SHELLFISH,0.1,314,782
1993,Nov,California,SHELLFISH,1,"2,311","3,574"
1994,Nov,California,SHELLFISH,0.3,703,"1,660"
1995,Nov,California,SHELLFISH,3.2,"7,144","6,621"
1996,Nov,California,SHELLFISH,0.3,573,"1,239"
1997,Nov,California,SHELLFISH,0.1,274,"1,051"
1998,Nov,California,SHELLFISH,0.2,413,"1,217"
1999,Nov,California,SHELLFISH,0.1,245,780
2000,Nov,California,SHELLFISH,0,41,308
2001,Nov,California,SHELLFISH,1.2,"2,719","10,836"
2002,Nov,California,SHELLFISH,0.7,"1,615","1,178"
2003,Nov,California,SHELLFISH,1.2,"2,537","2,154"
2004,Nov,California,SHELLFISH,0.1,200,291
2005,Nov,California,SHELLFISH,0.1,261,438
2006,Nov,California,SHELLFISH,0,79,342
2007,Nov,California,SHELLFISH,2.8,"6,087","1,455"
2008,Nov,California,SHELLFISH,0.3,758,659
2009,Nov,California,SHELLFISH,0.1,177,"1,887"
2010,Nov,California,SHELLFISH,0.4,808,"1,656"
2011,Nov,California,SHELLFISH,0,79,496
2012,Nov,California,SHELLFISH,0.1,308,"6,781"
2013,Nov,California,SHELLFISH,32.8,"72,387","27,066"
2014,Nov,California,SHELLFISH,0.1,125,943
2015,Nov,California,SHELLFISH,0.1,117,682
1990,Nov,Oregon,SHELLFISH,1.5,"3,355","6,265"
1991,Nov,Oregon,SHELLFISH,0.5,997,889
1992,Nov,Oregon,SHELLFISH,1.6,"3,455","4,689"
1993,Nov,Oregon,SHELLFISH,5.3,"11,776","33,102"
1994,Nov,Oregon,SHELLFISH,1.1,"2,338","2,710"
1995,Nov,Oregon,SHELLFISH,1.5,"3,417","4,634"
1996,Nov,Oregon,SHELLFISH,80.1,"176,693","73,167"
1997,Nov,Oregon,SHELLFISH,26.3,"58,088","34,390"
1998,Nov,Oregon,SHELLFISH,1.8,"3,978","3,782"
1999,Nov,Oregon,SHELLFISH,10,"22,154","14,444"
2000,Nov,Oregon,SHELLFISH,33.9,"74,712","57,526"
2001,Nov,Oregon,SHELLFISH,23.4,"51,540","38,089"
2002,Nov,Oregon,SHELLFISH,23.9,"52,785","30,570"
2003,Nov,Oregon,SHELLFISH,11.2,"24,706","16,546"
2004,Nov,Oregon,SHELLFISH,32.7,"71,990","20,265"
2005,Nov,Oregon,SHELLFISH,14.7,"32,401","10,697"
2006,Nov,Oregon,SHELLFISH,7.8,"17,164","6,912"
2007,Nov,Oregon,SHELLFISH,34.4,"75,813","28,560"
2008,Nov,Oregon,SHELLFISH,7.2,"15,977","10,802"
2009,Nov,Oregon,SHELLFISH,27.6,"60,945","47,752"
2010,Nov,Oregon,SHELLFISH,18.3,"40,375","24,021"
2011,Nov,Oregon,SHELLFISH,33.8,"74,531","58,372"
2012,Nov,Oregon,SHELLFISH,31.2,"68,699","39,239"
2013,Nov,Oregon,SHELLFISH,20.8,"45,892","25,718"
2014,Nov,Oregon,SHELLFISH,75.3,"165,985","104,119"
2015,Nov,Oregon,SHELLFISH,19,"41,924","52,944"
1990,Nov,Washington,SHELLFISH,487,"1,073,719","1,558,491"
1991,Nov,Washington,SHELLFISH,3.9,"8,552","61,285"
1992,Nov,Washington,SHELLFISH,7.4,"16,268","97,358"
1993,Nov,Washington,SHELLFISH,12.9,"28,548","183,638"
1994,Nov,Washington,SHELLFISH,23.8,"52,568","558,237"
1995,Nov,Washington,SHELLFISH,18,"39,707","228,124"
1996,Nov,Washington,SHELLFISH,18,"39,580","223,641"
1997,Nov,Washington,SHELLFISH,98.5,"217,149","267,357"
1998,Nov,Washington,SHELLFISH,14.5,"31,878","248,576"
1999,Nov,Washington,SHELLFISH,28.9,"63,620","314,937"
2000,Nov,Washington,SHELLFISH,16.5,"36,289","261,900"
2001,Nov,Washington,SHELLFISH,133.7,"294,710","1,334,739"
2002,Nov,Washington,SHELLFISH,53.4,"117,742","1,396,647"
2003,Nov,Washington,SHELLFISH,60.4,"133,050","1,446,577"
2004,Nov,Washington,SHELLFISH,28.7,"63,343","281,184"
2005,Nov,Washington,SHELLFISH,92,"202,895","2,087,980"
2006,Nov,Washington,SHELLFISH,36.1,"79,480","695,589"
2007,Nov,Washington,SHELLFISH,75.9,"167,429","2,192,008"
2008,Nov,Washington,SHELLFISH,81.8,"180,305","1,986,777"
2009,Nov,Washington,SHELLFISH,96.7,"213,083","1,917,453"
2010,Nov,Washington,SHELLFISH,60,"132,323","866,747"
2011,Nov,Washington,SHELLFISH,56.9,"125,367","1,833,412"
2012,Nov,Washington,SHELLFISH,85.3,"187,966","1,219,393"
2013,Nov,Washington,SHELLFISH,192.8,"424,939","2,626,002"
2014,Nov,Washington,SHELLFISH,200.1,"441,118","2,258,566"
2015,Nov,Washington,SHELLFISH,83.6,"184,395","2,532,432"
1990,Dec,Alaska,SHELLFISH,69.9,"154,179","93,871"
1994,Dec,Alaska,SHELLFISH,242,"533,404","952,704"
1995,Dec,Alaska,SHELLFISH,141.7,"312,295","437,098"
1996,Dec,Alaska,SHELLFISH,183.1,"403,697","539,544"
1990,Dec,California,SHELLFISH,4.3,"9,505","3,905"
1991,Dec,California,SHELLFISH,0.1,154,370
1992,Dec,California,SHELLFISH,0.2,418,"2,336"
1993,Dec,California,SHELLFISH,0.2,541,"1,412"
1994,Dec,California,SHELLFISH,1,"2,311","3,399"
1995,Dec,California,SHELLFISH,0.2,354,"1,509"
1996,Dec,California,SHELLFISH,0.1,136,353
1997,Dec,California,SHELLFISH,0.1,211,776
1998,Dec,California,SHELLFISH,0.1,272,"1,025"
1999,Dec,California,SHELLFISH,0.1,180,677
2000,Dec,California,SHELLFISH,0,65,248
2001,Dec,California,SHELLFISH,0,19,212
2002,Dec,California,SHELLFISH,0.4,815,980
2003,Dec,California,SHELLFISH,0.4,942,338
2004,Dec,California,SHELLFISH,0.4,836,"3,180"
2005,Dec,California,SHELLFISH,0.1,178,79
2006,Dec,California,SHELLFISH,0,94,349
2007,Dec,California,SHELLFISH,0.2,491,446
2008,Dec,California,SHELLFISH,0.2,461,476
2009,Dec,California,SHELLFISH,1.1,"2,348","1,261"
2010,Dec,California,SHELLFISH,0,77,494
2011,Dec,California,SHELLFISH,0,59,383
2012,Dec,California,SHELLFISH,0.1,214,659
2013,Dec,California,SHELLFISH,49.6,"109,405","36,806"
2014,Dec,California,SHELLFISH,0.2,421,"1,446"
2015,Dec,California,SHELLFISH,1,"2,306","1,491"
1990,Dec,Oregon,SHELLFISH,0.9,"1,886","2,770"
1991,Dec,Oregon,SHELLFISH,1.4,"2,979","4,168"
1992,Dec,Oregon,SHELLFISH,0.2,336,630
1993,Dec,Oregon,SHELLFISH,6.7,"14,781","34,351"
1994,Dec,Oregon,SHELLFISH,0.8,"1,853","2,038"
1995,Dec,Oregon,SHELLFISH,23.2,"51,128","57,652"
1996,Dec,Oregon,SHELLFISH,46.6,"102,696","102,585"
1997,Dec,Oregon,SHELLFISH,23.5,"51,726","44,696"
1998,Dec,Oregon,SHELLFISH,3.5,"7,824","7,331"
1999,Dec,Oregon,SHELLFISH,14.7,"32,351","33,098"
2000,Dec,Oregon,SHELLFISH,45.1,"99,404","98,935"
2001,Dec,Oregon,SHELLFISH,3.3,"7,248","6,442"
2002,Dec,Oregon,SHELLFISH,4.7,"10,466","9,747"
2003,Dec,Oregon,SHELLFISH,0.8,"1,821","2,951"
