Total,Taxa,Exporter Country,YEAR,Modeled Data
52,Halichoeres chloropterus,Australia,2005,0
18,Melichthys indicus,Australia,2005,0
18,Nemateleotris magnifica,Australia,2005,0
22,Nemateleotris magnifica,Australia,2005,1
37,Paracheilinus carpenteri,Australia,2005,0
27,Phycodurus eques,Australia,2005,0
34,Phyllopteryx taeniolatus,Australia,2005,0
71,Pictichromis paccagnellae,Australia,2005,0
12,Plectorhinchus chaetodonoides,Australia,2005,0
16,Pomacentrus bankanensis,Australia,2005,0
75,Pseudanthias dispar,Australia,2005,0
33,Pseudanthias kashiwae,Australia,2005,0
150,Pterapogon kauderni,Australia,2005,0
185,Pterapogon kauderni,Australia,2005,1
75,Salarias fasciatus,Australia,2005,0
92,Salarias fasciatus,Australia,2005,1
15,Stonogobiops nematodes,Australia,2005,0
20,Synchiropus ocellatus,Australia,2005,0
12,Valenciennea puellaris,Australia,2005,1
48,Valenciennea strigata,Australia,2005,0
59,Valenciennea strigata,Australia,2005,1
32,Zanclus cornutus,Australia,2005,0
1230,Actinia tenebrosa,Australia,2008,0
30,Amphiprion nigripes,Australia,2008,0
63,Anampses lennardi,Australia,2008,0
42,Cheilodactylus gibbosus,Australia,2008,0
19,Chromis klunzingeri,Australia,2008,0
11,Coris picta,Australia,2008,0
21,Enoplosus armatus,Australia,2008,0
12,Eucrossorhinus dasypogon,Australia,2008,0
56,Paraplesiops poweri,Australia,2008,0
13,Plectropomus leopardus,Australia,2008,0
85,Pseudanthias fasciatus,Australia,2008,0
270,Pseudocolochirus violaceus,Australia,2008,0
29,Trachichthys australis,Australia,2008,0
143,Trachinops brauni,Australia,2008,0
14,Amphiprion mccullochi,Australia,2009,0
52,Entacmaea quadricolor,Australia,2009,0
62,Istiblennius edentulus,Australia,2009,0
58,Lepidozygus tapeinosoma,Australia,2009,0
20,Naso brevirostris,Australia,2009,0
12,Naso lopezi,Australia,2009,0
14,Naso tuberosus,Australia,2009,0
24,Naso unicornis,Australia,2009,0
50,Naso vlamingii,Australia,2009,0
14,Parupeneus cyclostomus,Australia,2009,0
25,Pentagonaster duebeni,Australia,2009,0
17,Pomacentrus pavo,Australia,2009,0
20,Pseudanthias squamipinnis,Australia,2009,0
200,Selenotoca multifasciata,Australia,2009,0
195,Trachinops taeniatus,Australia,2009,0
449,Trikentrion flabelliforme,Australia,2009,0
13,Acanthurus olivaceus,Australia,2011,0
18,Chelarctus cultrifer,Australia,2011,0
13,Chrysiptera flavipinnis,Australia,2011,0
72,Cryptocentroides gobioides,Australia,2011,0
23,Meiacanthus grammistes,Australia,2011,0
72,Omobranchus anolius,Australia,2011,0
50,Ostorhinchus cyanosoma,Australia,2011,0
55,Photoblepharon palpebratum,Australia,2011,0
20,Pomacentrus moluccensis,Australia,2011,0
12,Protoreaster nodosus,Australia,2011,0
11,Rabaulichthys squirei,Australia,2011,0
14,Scolopsis monogramma,Australia,2011,0
3619,Acanthurus coeruleus,Belize,2004,0
530,Anisotremus virginicus,Belize,2004,0
672,Balistes vetula,Belize,2004,0
2859,Bodianus rufus,Belize,2004,0
11,Canthigaster rostrata,Belize,2004,0
41,Cephalopholis cruentata,Belize,2004,0
40,Cephalopholis fulva,Belize,2004,0
897,Chaetodon capistratus,Belize,2004,0
231,Chaetodon ocellatus,Belize,2004,0
13,Chilomycterus antillarum,Belize,2004,0
11955,Chromis cyanea,Belize,2004,0
103,Chromis viridis,Belize,2004,0
474,Clepticus parrae,Belize,2004,0
37,Echeneis naucrates,Belize,2004,0
89,Echeneis neucratoides,Belize,2004,0
43,Equetus punctatus,Belize,2004,0
15017,Gramma loreto,Belize,2004,0
6036,Gramma loreto,Belize,2004,1
191,Halichoeres bivittatus,Belize,2004,0
824,Halichoeres garnoti,Belize,2004,0
9509,Holacanthus ciliaris,Belize,2004,0
2422,Holacanthus tricolor,Belize,2004,0
54,Hypoplectrus guttavarius,Belize,2004,0
869,Hypoplectrus indigo,Belize,2004,0
301,Hypoplectrus nigricans,Belize,2004,0
243,Hypoplectrus puella,Belize,2004,0
368,Lachnolaimus maximus,Belize,2004,0
144,Melichthys niger,Belize,2004,0
14,Ogcocephalus nasutus,Belize,2004,0
2782,Pomacanthus arcuatus,Belize,2004,0
4094,Pomacanthus paru,Belize,2004,0
50,Pseudupeneus maculatus,Belize,2004,0
21,Sanopus greenfieldorum,Belize,2004,0
687,Scarus taeniopterus,Belize,2004,0
1090,Serranus tabacarius,Belize,2004,0
987,Serranus tigrinus,Belize,2004,0
1419,Serranus tortugarum,Belize,2004,0
104,Sparisoma viride,Belize,2004,0
24,Synodus intermedius,Belize,2004,0
3266,Thalassoma bifasciatum,Belize,2004,0
136,Urobatis jamaicensis,Belize,2004,0
586,Chaetodon striatus,Belize,2005,0
26,Chilomycterus antennatus,Belize,2005,0
25,Diodon holocanthus,Belize,2005,0
36,Epinephelus guttatus,Belize,2005,0
17,Ginglymostoma cirratum,Belize,2005,0
53,Halichoeres cyanocephalus,Belize,2005,0
567,Opistognathus aurifrons,Belize,2005,0
15,Paracanthurus hepatus,Belize,2005,0
320,Pictichromis paccagnellae,Belize,2005,0
53,Pomacanthus semicirculatus,Belize,2005,0
17,Chaetodon ocellicaudus,Belize,2008,0
18,Chaetodon sedentarius,Belize,2008,0
161706,Condylactis gigantea,Belize,2008,0
438,Ctenoides scaber,Belize,2008,0
119,Cyphoma gibbosum,Belize,2008,0
5731,Eucidaris tribuloides,Belize,2008,0
18,Halichoeres pictus,Belize,2008,0
23,Hypoplectrus gemma,Belize,2008,0
32,Lysmata wurdemanni,Belize,2008,0
253145,Mithraculus sculptus,Belize,2008,0
814,Sabellastarte magnifica,Belize,2008,0
16,Stenopus hispidus,Belize,2008,0
12,Stenopus scutellatus,Belize,2008,0
82,Stenorhynchus seticornis,Belize,2008,0
3000,Turbo crassus,Belize,2008,0
746,Xanthichthys ringens,Belize,2008,0
15,Zebrasoma flavescens,Belize,2008,0
17,Acanthurus chirurgus,Belize,2009,0
74,Apolemichthys arcuatus,Belize,2009,0
1425,Cerithium litteratum,Belize,2009,0
158,Ophiocoma paucigranulata,Belize,2009,0
21,Pomacanthus annularis,Belize,2009,0
220,Pterois volitans,Belize,2009,0
45,Stichodactyla helianthus,Belize,2009,0
14893,Turbo fluctuosus,Belize,2009,0
40,Calcinus tibicen,Belize,2011,0
1300,Cittarium pica,Belize,2011,0
8087,Paguristes cadenati,Belize,2011,0
1200,Phimochirus holthuisi,Belize,2011,0
31,Acanthostracion quadricornis,Brazil,2000,0
508,Acanthurus bahianus,Brazil,2000,0
1911,Acanthurus coeruleus,Brazil,2000,0
80,Alphestes afer,Brazil,2000,0
199,Amblycirrhitus pinos,Brazil,2000,0
609,Anisotremus virginicus,Brazil,2000,0
266,Balistes vetula,Brazil,2000,0
2357,Bodianus pulchellus,Brazil,2000,0
2309,Bodianus rufus,Brazil,2000,0
286,Cantherhines pullus,Brazil,2000,0
524,Centropyge aurantia,Brazil,2000,0
4183,Centropyge aurantonotus,Brazil,2000,0
343,Chaetodon ocellatus,Brazil,2000,0
446,Chaetodon striatus,Brazil,2000,0
447,Chilomycterus schoepfii,Brazil,2000,0
281,Dactylopterus volitans,Brazil,2000,0
2912,Elacatinus evelynae,Brazil,2000,0
50,Glaucostegus typus,Brazil,2000,0
1213,Gramma brasiliensis,Brazil,2000,0
757,Gramma loreto,Brazil,2000,0
371,Gymnothorax funebris,Brazil,2000,0
540,Gymnothorax miliaris,Brazil,2000,0
946,Halichoeres cyanocephalus,Brazil,2000,0
78,Halichoeres maculipinna,Brazil,2000,0
75,Halichoeres radiatus,Brazil,2000,0
9437,Holacanthus ciliaris,Brazil,2000,0
1847,Holacanthus tricolor,Brazil,2000,0
39,Narcine brasiliensis,Brazil,2000,0
36,Ogcocephalus corniger,Brazil,2000,0
256,Ophioblennius atlanticus,Brazil,2000,0
528,Pareques acuminatus,Brazil,2000,0
836,Pomacanthus arcuatus,Brazil,2000,0
5494,Pomacanthus paru,Brazil,2000,0
14,Prionotus rubio,Brazil,2000,0
346,Selene vomer,Brazil,2000,0
320,Abudefduf saxatilis,Brazil,2004,0
81,Acanthostracion polygonius,Brazil,2004,0
40,Achirus lineatus,Brazil,2004,0
41,Aluterus scriptus,Brazil,2004,0
40,Anisotremus surinamensis,Brazil,2004,0
14,Antennarius multiocellatus,Brazil,2004,0
31,Antennarius striatus,Brazil,2004,0
247,Apogon americanus,Brazil,2004,0
117,Apogon maculatus,Brazil,2004,0
201,Apogon pseudomaculatus,Brazil,2004,0
501,Bothus leopardinus,Brazil,2004,0
11,Bothus lunatus,Brazil,2004,0
54,Bothus ocellatus,Brazil,2004,0
56,Cantherhines macrocerus,Brazil,2004,0
73,Canthigaster figueiredoi,Brazil,2004,0
110,Canthigaster rostrata,Brazil,2004,0
105,Centropyge acanthops,Brazil,2004,0
23,Cephalopholis fulva,Brazil,2004,0
71,Chaetodipterus faber,Brazil,2004,0
28,Chaetodon sedentarius,Brazil,2004,0
89,Chilomycterus antennatus,Brazil,2004,0
132,Chromis insolata,Brazil,2004,0
42,Chromis multilineata,Brazil,2004,0
137,Coryphopterus glaucofraenum,Brazil,2004,0
93,Diodon holocanthus,Brazil,2004,0
34,Diodon hystrix,Brazil,2004,0
31,Echeneis naucrates,Brazil,2004,0
60,Elacatinus figaro,Brazil,2004,0
209,Gobiesox strumosus,Brazil,2004,0
11,Gymnothorax melatremus,Brazil,2004,0
105,Gymnothorax moringa,Brazil,2004,0
25,Gymnothorax ocellatus,Brazil,2004,0
166,Gymnothorax vicinus,Brazil,2004,0
20,Halichoeres bivittatus,Brazil,2004,0
313,Halichoeres brasiliensis,Brazil,2004,0
13,Halichoeres poeyi,Brazil,2004,0
46,Labrisomus nuchipinnis,Brazil,2004,0
29,Labrisomus striatus,Brazil,2004,0
24,Lactophrys trigonus,Brazil,2004,0
35,Microspathodon chrysurus,Brazil,2004,0
214,Muraena pavonina,Brazil,2004,0
34,Myrichthys ocellatus,Brazil,2004,0
67,Myripristis jacobus,Brazil,2004,0
15,Ogcocephalus cubifrons,Brazil,2004,0
35,Ogcocephalus nasutus,Brazil,2004,0
16,Ogcocephalus radiatus,Brazil,2004,0
349,Ogcocephalus vespertilio,Brazil,2004,0
86,Ophioblennius trinitatis,Brazil,2004,0
41,Opistognathus aurifrons,Brazil,2004,0
25,Parablennius marmoreus,Brazil,2004,0
16,Paracanthurus hepatus,Brazil,2004,0
23,Paranthias colonus,Brazil,2004,0
51,Paranthias furcifer,Brazil,2004,0
49,Prionotus nudigula,Brazil,2004,0
35,Prionotus ophryas,Brazil,2004,0
16,Prognathodes aculeatus,Brazil,2004,0
28,Pseudocheilinus hexataenia,Brazil,2004,1
36,Pterapogon kauderni,Brazil,2004,1
32,Serranus baldwini,Brazil,2004,0
14,Serranus flaviventris,Brazil,2004,0
18,Stegastes leucostictus,Brazil,2004,0
105,Stegastes pictus,Brazil,2004,0
422,Stegastes variabilis,Brazil,2004,0
12,Thalassoma bifasciatum,Brazil,2004,0
43,Thalassoma noronhanum,Brazil,2004,0
35,Trachinocephalus myops,Brazil,2004,0
13,Acanthurus chirurgus,Brazil,2005,0
99,Chilomycterus spinosus spinosus,Brazil,2005,0
20,Myrichthys breviceps,Brazil,2005,0
22,Plectroglyphidodon lacrymatus,Brazil,2005,0
11,Stygnobrotula latebricola,Brazil,2005,0
12,Apolemichthys arcuatus,Brazil,2008,0
65,Batrachoides surinamensis,Brazil,2008,0
12,Parablennius pilicornis,Brazil,2008,0
11,Porichthys porosissimus,Brazil,2008,0
19,Scarus zelindae,Brazil,2008,0
19,Scorpaena brasiliensis,Brazil,2008,0
28,Sphoeroides spengleri,Brazil,2008,0
17,Heteropriacanthus cruentatus,Brazil,2009,0
52,Eumicrotremus orbis,Canada,2004,0
18,Amphiprion ocellaris,Canada,2005,0
42,Aulorhynchus flavidus,Canada,2008,0
11,Eptatretus stoutii,Canada,2011,0
40,Centropyge hotumatua,Chile,2004,0
12,Chaetodon litus,Chile,2004,0
978,Actinia equina,China,2008,0
139,Asterias amurensis,China,2008,0
233,Stichodactyla haddoni,China,2008,0
13,Centropyge flavicauda,Cook Islands,2000,0
38,Centropyge flavissima,Cook Islands,2000,0
225,Centropyge loricula,Cook Islands,2000,0
671,Centropyge loricula,Cook Islands,2000,1
707,Chrysiptera galba,Cook Islands,2000,0
2878,Cirrhilabrus scottorum,Cook Islands,2000,0
12,Labroides rubrolabiatus,Cook Islands,2000,0
20,Macropharyngodon meleagris,Cook Islands,2000,0
